Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.5845,0.0008905500400000001,3.694670861578877e-05,25,0.00084349904,0.0008498834,0.000862014,0.000878158,0.000905524,0.0009624638,0.00097107668,0.0008333777168141595,3.0995291214516135e-05,113,0.00077196844,0.0007868214,0.000813541,0.000832147,0.00085236,0.0008912998,0.000911405,0.000781100077220077,3.728160411866261e-05,259,0.00070454422,0.0007196193,0.00075717,0.000781253,0.0008049315,0.0008427209999999999,0.00087053836
-36.5845,0.0008906095599999999,3.632644335177888e-05,25,0.00084171552,0.0008491478,0.000863252,0.000879664,0.00090495,0.00096037,0.0009695736799999999,0.000833893442477876,3.1268858118781144e-05,113,0.0007735948,0.0007873098,0.000814082,0.000835583,0.000852044,0.0008925622,0.00091418628,0.0007823291274131269,3.6475366167769316e-05,259,0.00070546756,0.0007218385999999999,0.0007597534999999999,0.000781958,0.0008052895,0.0008399398999999999,0.0008706554
-35.5845,0.00089479028,3.539300209142102e-05,25,0.00084617668,0.0008528404,0.000867624,0.000886939,0.000909831,0.0009587344,0.00096980252,0.0008379982123893807,3.2528207141058827e-05,113,0.000777502,0.0007890386,0.00081785,0.000836351,0.000857086,0.0008998738,0.0009172324,0.0007867625057915056,3.5107806846576396e-05,259,0.0007072955600000001,0.0007284981000000001,0.000764345,0.000787525,0.0008078315,0.0008392653000000001,0.00087303886
-34.5845,0.00090536632,3.3875563116746365e-05,25,0.0008617052400000001,0.0008636344,0.000876821,0.000903586,0.000918764,0.0009620514,0.0009740632,0.0008484249734513277,3.643793632364591e-05,113,0.00078455976,0.0007945194,0.000827298,0.000845663,0.000868779,0.0009210666,0.000935358,0.0007972329536679539,3.4154394889064494e-05,259,0.0007134878199999999,0.0007444766,0.000776105,0.000796157,0.000816547,0.0008508421999999999,0.000884913
-33.5845,0.0009247498400000001,3.3702565151730905e-05,25,0.0008769984000000001,0.0008803922,0.000894711,0.000922893,0.00093697,0.0009840381999999999,0.00099773592,0.0008671380796460175,4.479005935096808e-05,113,0.00079234184,0.0008063462000000001,0.000836376,0.00085972,0.000888355,0.0009508316000000001,0.0009989594,0.0008162644517374516,3.636105635762566e-05,259,0.00073069848,0.0007610494,0.0007950475000000001,0.000814685,0.0008376169999999999,0.0008769401,0.0009095547399999999
-32.5845,0.0009576646399999999,4.10751274433811e-05,25,0.0009027465199999999,0.000907004,0.000921829,0.000953184,0.000980872,0.001015438,0.0010557992,0.0008974703893805309,5.904943763256369e-05,113,0.0008074582400000001,0.0008159334,0.000860371,0.000885725,0.000929064,0.0009961357999999998,0.0010996723999999998,0.0008466775096525095,4.4916667677585205e-05,259,0.00075806846,0.0007793235,0.0008186745,0.000843607,0.0008695875,0.0009243131999999999,0.0009606903199999999
-31.5845,0.00100639696,6.192882058425355e-05,25,0.00094047676,0.0009445842,0.000964843,0.000986749,0.00103879,0.0011424399999999998,0.00117261,0.0009398974070796458,7.80848170679117e-05,113,0.00082282928,0.0008345652000000001,0.000889723,0.000921078,0.00098699,0.001073146,0.0012273404,0.0008893487451737446,5.9068359201295414e-05,259,0.00079345068,0.0008129814000000001,0.000850469,0.000881074,0.0009159035,0.0009856494,0.0010671323999999999
-30.5845,0.001069697,9.452271326732357e-05,25,0.00098246844,0.000986093,0.00100819,0.00103392,0.00110589,0.0012858799999999994,0.0013463432,0.0009928052920353983,0.00010005418909598449,113,0.00084036956,0.0008692304,0.000931609,0.000971388,0.00104667,0.001171306,0.0013736312,0.0009425083590733588,7.602312691358732e-05,259,0.0008241736600000001,0.000852042,0.0008939009999999999,0.000931987,0.000980561,0.001076924,0.0011815002000000001
-29.5845,0.0011412536,0.00013170918833045275,25,0.0010264316000000002,0.001030474,0.00105576,0.00110196,0.00117825,0.0014326139999999994,0.001547674,0.0010521709115044245,0.00012254563914995372,113,0.0008615972,0.0008949072,0.000978827,0.00102288,0.00111001,0.0012601079999999998,0.0015217363999999998,0.001002148397683398,9.30995040942179e-05,259,0.00086024506,0.0008911317,0.000938921,0.000986617,0.00104721,0.001169511,0.0013179651999999996
-28.5845,0.0012115015999999998,0.00016387543581635413,25,0.0010664904,0.00107248,0.00111433,0.00118237,0.00123244,0.0015574779999999993,0.0017303283999999996,0.0011119786637168146,0.0001426092357808324,113,0.00088767944,0.0009176196,0.00102658,0.00108026,0.00117532,0.0013679459999999999,0.0016508043999999998,0.0010621237606177603,0.00010723700466110876,259,0.0009035448,0.0009304132,0.000989391,0.00103699,0.00110742,0.001251664,0.0014346817999999991
-27.5845,0.0012691112,0.00018295123861564863,25,0.0010956248,0.001103962,0.00115959,0.00123023,0.0012897,0.0016342439999999995,0.0018527319999999995,0.0011634319292035402,0.00015702356392966474,113,0.0009180260000000001,0.0009400028,0.00106829,0.00113461,0.00123478,0.0014462019999999997,0.0017376932,0.0011136126833976826,0.00011508591911209694,259,0.0009434219200000001,0.0009694389,0.00103487,0.00108421,0.00116255,0.001330941,0.0015061235999999983
-26.5845,0.0013055287999999999,0.0001857479811761086,25,0.001120236,0.001129162,0.00119331,0.00126185,0.00132515,0.0016515179999999998,0.0018926123999999994,0.001198801353982301,0.00016364689039099228,113,0.00094446868,0.0009610346,0.00109495,0.0011717,0.00127348,0.0015010599999999998,0.0017690572,0.0011490147915057915,0.00011620998715764997,259,0.00097646158,0.001006172,0.001070105,0.001125,0.00120068,0.001361742,0.001497681199999999
-25.5845,0.0013184924,0.00017348946279913756,25,0.0011383868,0.001146888,0.00122325,0.00125551,0.00133302,0.001614264,0.0018492051999999995,0.0012162032654867256,0.0001628473333524388,113,0.0009590912,0.0009925058,0.001109,0.00118641,0.00129229,0.001528418,0.0017500064,0.0011660162509652505,0.00011251378306700551,259,0.0009994206799999999,0.0010242810000000001,0.0010925750000000001,0.00114589,0.00121639,0.001379722,0.0014799951999999999
-24.5845,0.0013103800000000005,0.00015276259939854387,25,0.001147334,0.001156554,0.00122972,0.00127423,0.00132316,0.0016065319999999995,0.0017721687999999996,0.0012170987079646019,0.0001572081019750051,113,0.0009646492,0.001019454,0.00111847,0.00118952,0.00129168,0.001531594,0.001714392,0.001165085077220077,0.00010656615527579726,259,0.00099453692,0.001027601,0.001090695,0.00114802,0.001216795,0.001364124,0.0014971527999999997
-23.5845,0.0012885288,0.00013218470581979845,25,0.0011491068,0.001153438,0.00119738,0.00126307,0.00130789,0.0015818199999999994,0.0016631851999999998,0.001205816026548672,0.00015006596661518918,113,0.00096307144,0.00101841,0.00110706,0.00117799,0.00128582,0.0015063279999999997,0.0016578291999999998,0.0011501042857142859,0.00010211266623425537,259,0.00097737286,0.001010861,0.001080105,0.00113592,0.00120401,0.001329764,0.0014495407999999988
-22.5845,0.0012610248,0.00011913331401977088,25,0.0011207016,0.001140608,0.00119029,0.00122596,0.00129299,0.0015071719999999995,0.0015863684,0.0011872021061946902,0.00014437556590064497,113,0.00094601568,0.0009864362,0.00109635,0.00116543,0.00126388,0.0014794579999999995,0.0016156019999999998,0.0011261390849420844,0.00010164409382072413,259,0.00093825058,0.000984853,0.001058645,0.00111329,0.0011892650000000001,0.001298872,0.0014216389999999984
-21.5845,0.0012328084,0.00011558345284829197,25,0.0010858864,0.001094944,0.0011453,0.00122031,0.00129199,0.001417628,0.0015482819999999998,0.0011654262743362837,0.00014143656684517924,113,0.0009210699200000001,0.0009547062,0.00106948,0.00115863,0.00123896,0.001437736,0.0015756555999999998,0.0010981616833976833,0.00010486324026762908,259,0.00089479164,0.0009358964,0.0010271,0.00108671,0.001162665,0.001272069,0.0013861317999999984
-20.5845,0.0012049667999999999,0.0001181215549310681,25,0.0010517623999999998,0.00106891,0.00112411,0.00119649,0.00125012,0.0013937919999999998,0.0015417759999999997,0.001143216053097345,0.00014073019508923555,113,0.00089584444,0.0009229112,0.00104171,0.00113118,0.0012194,0.0013869519999999999,0.0015313239999999997,0.0010698057142857146,0.00010959281930423104,259,0.0008517638,0.0009066475,0.00099724,0.00105836,0.0011389500000000001,0.001261158,0.001363872399999999
